club_name,club_frase,jugadores,embedding_index
aldosivi,aldosivi,"Jugadores del club aldosivi:
* emanuel iniguez
* matias ezequiel schelotto
* mario federico lopez quintana
* jonathan fabian zacaria
* leandro isaac maciel
* emanuel fernando maciel
* fernando aurelio roman villalba
* ian eduardo escobar ibanez
* joaquin indacoechea
* matias morello
* rufino lucero
* luis ignacio ingolotti
* patricio boolsen
* gabriel paredes
* alejandro aranda
* elias britez
* agustin lastra
* santiago laquidain
* uriel ramirez
* tobias cervera
* facundo agustin tobares
* valentin mancini
* matias pisano
* santiago martin silva olivera
* cesar marcelo meli
* francisco javier cerro
* tomas martinez
* nicolas valentini
* javier eduardo iritier
* juan manuel cuesta baena
* tomas leonardo lecanda
* federico emanuel milo
* marcos david miers
* lautaro patricio rinaldi
* manuel panaro
* edwin stiven mosquera palacios
* franco farid perez
* luciano dario pocrnjic
* fabricio coloccini
* walter fabian assmann
* pablo ignacio becker
* jonathan cristian schunke
* mariano nahuel yeri
* matias raul villarreal
* lucas gabriel di yorio
* franco alejandro perinciolo
* mauro joel carli
* yoel gustavo juarez
* felipe jorge rodriguez valla
* jonatan nahuel benedetti
* leonel ezequiel galeano
* gonzalo alberto veron
* facundo daniel bertoglio
* fernando andres evangelista iglesias
* cain jair fara
* hernan dario burbano
* ezequiel videla greppi
* denis andres stracqualursi
* leonardo agustin sanchez
* jefferson mena palacios
* facundo andres castillon
* emiliano ariel ozuna
* leandro sapetti
* francisco gaston leonardo
* juan ignacio silva
* ramiro garay
* fernando telechea
* antonio cesar medina
* pablo campodonico
* alexis nicolas castro
* franco nicolas canever
* sebastian ariel penco
* federico matias leon
* angel gaston diaz
* matias alejandro vega
* cristian ezequiel llama
* roberto sebastian brum gutierrez
* ramiro ezequiel arias
* luis leandro sosa otermin
* damian david ledesma
* joel gustavo acosta
* sebastian dario navarro
* nicolas jesus ciribe
* nahuel pajaro
* raul fernando poclaba
* franco tomas sosa
* claudio cesar correa caniza
* juan ignacio dinenno de cara
* emiliano borjas
* luis angel vildozo godoy
* matias gabriel rosso
* ariel raul bulasio
* roque gabriel vargas
* andres lope
* juan pablo gargiulo
* milton axel muller
* juan carlos menseguez
* carlos soto
* alejandro ruben capurro
* mariano enrique seccafien
* leonardo marcelo fredes",0
argentinos juniors,argentinos juniors,"Jugadores del club argentinos juniors:
* gabriel avalos stumpfs
* kevin mac allister
* miguel angel torren
* lucas hernan villalba
* mariano ezequiel bittolo
* alexis martin arias
* marcelo javier cabrera rivero
* francisco gonzalez metilli
* federico vicente lanzillota
* matias gabriel vera
* alan rodriguez
* franco david moyano
* fabricio dominguez huertas
* luciano sanchez
* leonel hernan gonzalez
* jonathan alexis sandoval rojas
* leonardo matias heredia
* rodrigo ezequiel cabral
* gaston nicolas veron
* thiago thomas nuss
* marco genare di cesare
* federico redondo
* yair gonzalez
* pablo agustin minissale
* david zalazar
* jose herrera
* lautaro ovando
* miguel acosta
* andres felipe roa estrada
* leandro farid finochietto
* horacio gabriel carabajal
* matias galarza
* fausto mariano vera
* cesar gabriel florentin
* roman vega
* johan camilo campana barrera
* emanuel herrera
* francisco ilarregui
* diego sosa
* lucas ambrogio
* nicolas alejandro forastiero
* ivan leonardo colman
* daniel alessandro saggiomo mosquera
* juan roman pucheta
* matias nicolas caruzzo
* tomas gustavo andrade
* franco gabriel ibarra
* agustin ignacio aleo
* matko mijael miljevic
* edwar manuel lopez gomez
* facundo matias barboza
* marcos alberto angeleri
* thomas damian amilivia
* alessio ezequiel naim ham
* raul marcelo bobadilla
* leandro gaston paiva santurion
* leonardo nicolas pisculichi
* gaston machin
* gaston dario bojanich
* francisco illarregui
* mauro angel maidana
* lucas martin ferraz vila
* patricio nehuen perez
* esteban gabriel rueda
* julian illanes minucci
* franco alexis lopez
* luiz humberto da silva silva
* nicolas ivan gonzalez
* federico marcelo anselmo
* fabricio german lenci
* ricardo sebastian riquelme
* jonathan jose canete
* juan camilo saiz ortegon
* mauro daniel quiroga
* sebastian rodrigo martinez aguirre
* lautaro daniel mesa
* lucas pizzatti
* matias alfredo martinez
* cristian raul ledesma
* emilio jose zelaya
* carlos heber bueno suarez
* nicolas omar freire
* luciano javier cabral
* nahuel jonathan rodriguez gonzalez
* camilo andres vargas gil
* federico insua
* franco valentin flores
* luis mariano almandoz
* sebastian matias giovini
* emiliano lionel trovento
* juan pablo lemos
* diego alejandro rivero
* matias alejandro gimenez
* cristian osvaldo alvarez
* gerardo maximiliano freitas talpamiz
* german rodrigo basualdo
* juan alberto sabia
* federico gallego revetria
* jonathan joel rodriguez
* nicolas batista",1
arsenal de sarandi,arsenal de sarandi,"Jugadores del club arsenal de sarandi:
* alejandro gabriel medina
* tomas sultani
* brian lautaro guzman
* facundo eduardo pons
* tiago nahuel banega
* maximiliano tomas centurion
* leonardo marchi rivero
* tobias joel zarate
* ignacio gariglio
* joaquin pombo
* adrian marcelo sporle
* alejandro ezequiel rivero gonzalez
* shayr mohamed gonzalez
* santiago toloza
* william machado
* bruno baez panero
* emiliano viveros
* franco martinez
* juan peinipil
* facundo daniel kruspzky
* dardo federico miloc
* christian chimino
* juan francisco apaolaza
* alejo antilef
* joaquin bigo
* lucas emanuel brochero
* braian sanchez
* lucas matias cano
* axel wilfredo werner
* edwin andres torres palacio
* aldo agustin maiz gill
* hector horacio igarzabal
* tadeo tomas rodriguez
* lautaro bursich
* marcos ulises abreliano
* nicolas mario mazzola
* emiliano ramiro papa
* alan nahuel ruiz
* jonathan pablo bottinelli
* valentin larralde
* jorge alberto ortiz
* nicolas juan gabriel miracco
* maximiliano juan rogoski
* ramiro braian luna
* lucas misael necul
* mateo carabajal
* nicolas gaston navarro
* rodrigo nicolas ramirez
* ramiro agustin balbuena chamorro
* gonzalo ariel gomez
* nicolas ezequiel gimenez
* gaston maximiliano alvarez suarez
* lucas ezequiel piovi
* ezequiel edison rescaldani
* lautaro joel parisi
* ruben osvaldo zamponi
* ezequiel adrian cerica
* pablo sebastian valeira alvarez
* lionel alejandro nicolas laborda
* diego nunez
* lucas antonio wilchez
* marcos curado
* pablo ariel santillo
* diego gonzalo chaves de miquelerena
* gonzalo federico gonzalez pereyra
* sergio ezequiel velazquez
* facundo nicolas quintana
* ryduan palermo
* rodrigo pollero lopez
* bryan carlos schmidt
* mauricio hernan aquino
* ramon maximiliano velazco
* julio franco sosa
* leonardo gabriel rolon
* german julio cesar ferreyra
* ivan gonzalo bella
* maximiliano brian rolon
* gaston alexander del castillo
* rodrigo bella
* thiago rodrigues da silva
* rene daniel moyano
* maximiliano matias calzada fuentes
* leandro godoy
* gonzalo emiliano gimenez
* matias ezequiel zaldivar
* gabriel alejandro sanabria
* gonzalo sebastian papa palleiro
* joaquin antonio boghossian lorenzo
* tomas berra
* julio cesar rodriguez gimenez
* luciano german vella
* gonzalo ismael bazan
* juan gabriel celaya
* renso perez
* federico jesus flores
* salvador sanchez
* mauro daniel leiva
* martin jose gimenez
* agustin vuletich
* ramiro andres lopez
* milton aaron celiz
* ezequiel eduardo ruiz
* miguel eduardo caneo
* ivan varga
* maximiliano francisco herrera
* federico raul laurito
* matias ezequiel zaldivia
* gonzalo ezequiel gonzalez
* santiago trellez viveros
* gabriel alejandro flores
* cristhian marcelo soria
* jorge curbelo
* oscar alejandro limia
* matias daniel campos toro
* gaston ruben esmerado
* dany alejandro rosero valencia
* lucas ramon pugh
* julian gabriel cardozo
* pablo cesar burzio
* enzo enrico prono zelaya
* juan cruz randazzo",2
atletico rafaela,atletico rafaela,"Jugadores del club atletico rafaela:
* nelson fabian benitez
* gabriel jesus morales
* emiliano romero clavijo
* oscar matias carniello
* eros medaglia
* mauro rafael albertengo
* diego armando montiel
* guido rossetti
* nicolas francisco canavessio
* mateo castellano
* santiago nicolas paz
* manuel bustos
* gianfranco ferrero
* enzo gaggi
* facundo gaston soloa
* robin ariel ramirez gonzalez
* tomas martin baroni
* sergio candelario sosa
* rodrigo jesus colombo
* sergio oscar almiron
* mariano damian puch
* facundo manuel parra
* german ezequiel rodriguez rojas
* esteban gabriel orfano
* federico matias scoppa
* heber gaston colman leguisamo
* norberto javier paparatto
* dimas ezequiel morales
* sebastian fernando sanchez
* facundo cervantes
* pablo jose pavetti
* juan eduardo eluchans
* osmar daniel ferreyra
* guillermo andres marino
* carlos de giorgi
* pablo leonel gaitan
* franco marcelo jominy
* mauricio sebastian gomez castro
* martin damian diaz pena
* carlos javier acuna caballero
* marcos sartor
* marcos santiago fissore",3
atletico tucuman,atletico tucuman,"Jugadores del club atletico tucuman:
* bruno felix bianchi massey
* guillermo gaston acosta
* joaquin nicolas pereyra
* manuel vicente capasso
* cristian matias menendez
* yonathan emanuel cabral
* ramiro ruiz rodriguez
* renzo ivan tesuri
* matias exequiel orihuela bonino
* mateo agustin coronel
* marcelo sebastian gonzalez cabral
* wilson gabriel ibarrola caballero
* adrian sanchez
* ignacio daniel maestro puch
* marcelo estigarribia
* luis alberto ojeda
* marcelo damian ortiz
* tomas ignacio marchiori carreno
* francisco di franco
* alvaro agustin lagos
* camilo hernan albornoz
* nicolas romero
* kevin amir isa luna
* carlos emilio lampe porras
* ramiro angel carrera
* augusto diego lotti
* eugenio horacio isnaldo
* martin garay
* gaston ignacio gil romero
* nicolas alejandro thaller
* gabriel adolfo risso patron
* enrique javier borja araujo
* andres felipe balanta cifuentes
* federico oscar andrada
* jose alexis doldan aquino
* ramiro nicolas cristobal calderon
* franco coman
* nicolas emanuel lamendola
* lucas naranjo
* marcos valor
* felipe manuel campos mosqueira
* mauro gabriel osores
* tomas esteban cuello
* emanuel hernan rosales
* jonas samuel romero
* cristian david lucchetti
* franco gabriel mussis
* cristian damian erbes
* santiago vergini
* oscar benitez
* franco pizzicanella blasi
* gustavo matias alustiza
* luciano fabian monzon
* gustavo ariel toledo
* nicolas diego aguirre
* martin nicolas peralta
* gonzalo pablo castellani
* juan ignacio mercier
* jose ignacio san roman canciani
* mauro matos
* andres lamas bervejillo
* tomas ivan rojas gomez
* gaston iturrieta
* david valdez
* cristian carlos villagra
* ismael blanco
* nahuel alejandro zarate
* jorge emanuel molina
* mauricio affonso prieto
* matias leonel ballini
* gonzalo gaston freitas silva
* hernan ignacio hechalar
* andres alejandro montiel
* facundo daffonchio
* franco tomas quiroga
* mauricio sanna
* leandro gonzalez
* jairo fabian palomino sierra
* enrique gabriel meza britez
* jose alejandro mendez
* gonzalo ariel ontivero
* miguel julio
* pablo domingo caceres rodriguez
* juan jose govea tenorio",4
banfield,banfield,"Jugadores del club banfield:
* brahian milton aleman athaydes
* facundo altamirano
* agustin jose urzi
* emanuel olivera
* ramiro enrique paz
* emanuel mariano insua zapata
* andres eliseo chavez
* alejandro martin cabrera
* eric daian remedi
* luis alexis maldonado
* emanuel gustavo coronel
* luciano andres abecasis
* sebastian sosa sanchez
* alejandro ramon maciel
* nicolas sosa sanchez
* jose ignacio alvarez medero
* dylan gissi
* facundo nicolas cambeses
* luis enrique del pino mago
* juan manuel cruz
* matias alexis romero
* lautaro nicolas rios
* aaron facundo quiroz
* gregorio jose tanco
* ignacio agustin rodriguez
* matias nahuel gonzalez
* julian eseiza
* facundo sanguinetti
* enrique alberto bologna gomez
* jesus alberto datolo
* pablo maximiliano cuadra
* julian eduardo palacios
* erik nicolas lopez samaniego
* jeremias perales
* nicolas santiago bertolo
* giuliano galoppo
* dario cvitanich
* alexis gaston sosa
* valentin barbero
* leonardo flores
* luciano daniel pons
* gonzalo miceli
* ramiro di luciano
* jonas manuel gutierrez
* fabian ramon bordagaray
* claudio daniel villagra
* sebastian martin benega
* dany edjo'o
* mauricio gabriel asenjo
* claudio nicolas bravo
* rodrigo sebastian arciero
* reinaldo lenis montes
* pablo cesar leonardo velazquez centurion
* pablo daniel osvaldo
* esteban nestor conde quintana
* sebastian dubarbier
* matias hernan moya
* israel alejandro damonte
* sergio javier vittor
* julian simon carranza
* brian nahuel robles
* rodrigo ernesto tapia
* luis marcelo torres
* denis agustin brizuela
* michael steven lopez
* franco daniel colela castro
* martin lucero
* lucas piergiacomi
* juan molina
* luciano civelli
* romel morales ramirez
* hilario bernardo navarro
* lihue dario prichoda
* thomas rodriguez trogsar
* claudio daniel perez
* giovanni pablo simeone
* enzo gabriel trinidad
* miguel alejandro escobar
* maximiliano sbrissa
* matias enrique abelairas
* emiliano franco terzaghi
* facundo nicolas tevez
* marco di menno
* gonzalo negro
* cristian molina
* leandro chetti
* jose ricardo devaca sanchez
* juan cuellar
* alejandro alcayaga
* omar zarif
* santiago gabriel salcedo gonzalez
* carlos agustin farias
* fabio aaron omar segovia",5
barracas central,barracas central,"Jugadores del club barracas central:
* lucas andres colitto
* ivan tapia
* juan ignacio diaz
* facundo leonel mater
* brian alejandro calderara
* carlos arce
* valentin nicolas viola
* maximiliano rodriguez
* cristian arce
* rodrigo insua
* axel bordon
* nicolas capraro
* mauro peinipil
* fernando andres prado avelino
* rodrigo ezequiel herrera
* alan martin cantero
* manuel brondo
* alex juarez
* lucas fabrizio lopez
* julian viollaz
* guido villar
* andres desabato
* marcos benitez
* maximiliano puig
* bruno mastronicola
* nicolas agustin ferreyra
* cristian ariel colman ortiz
* maximiliano jose gagliardo
* pablo nicolas mouche
* carlos fernando valenzuela
* gonzalo paz
* neri ricardo bandiera
* bruno christian sepulveda
* dylan glaby
* sebastian rincon lucumi
* juan manuel vazquez
* jonathan matias blanco
* facundo alfredo castro
* thomas gutierrez",6
belgrano,belgrano,"Jugadores del club belgrano:
* cristian rafael techera cribelli
* maximiliano francisco lugo
* martin rodrigo rivero
* juan gabriel patino martinez
* juan leandro quiroga
* anthony chelin uribe francia
* sebastian luna
* tomas adriel attis
* wilson ivan altamirano
* rodrigo gomez
* agustin adelmo rufinetti
* geronimo tomasetti
* miguel angel martinez
* federico hernan alvarez
* tobias nahuel figueroa
* jorge hernan menosse acosta
* adrian martin balboa camacho
* mariano omar barbieri
* fabricio brener
* leandro sebastian olivarez
* pablo nicolas heredia
* joaquin nehemias rikemberg
* gonzalo eduardo martinez
* franco emanuel pardo
* epifanio ariel garcia duarte
* marcelo german montoya
* cristian gabriel romero
* santiago gabriel martinez pintos
* francisco romero
* braian alexis volpini
* hansell argenis riojas la rosa
* marcos alejandro rivadero
* esteban ezequiel espindola lopez
* german emmanuel gaitan
* lucas elio aveldano
* ivan etevenaux
* guillermo martin farre
* jorge luis velazquez
* enzo maximiliano roggio
* cristian gorgerino
* santiago walter rosa
* mario bolatti
* nahuel isaias lujan
* cesar emmanuel pereyra
* jose manuel rojas bahamondes
* juan carlos olave
* mauro ivan obolo
* ivan edgardo paz
* adrian argacha gonzalez
* luciano rodriguez
* german gabriel cochis millicay
* pablo mattalia
* joel valdemarin
* maximiliano zarate fagiuolo
* lucas manuel zelarayan
* gaston alejandro turus
* cesar mansanelli
* luciano becchio
* esteban nicolas gonzalez
* jerry ricardo bengtson bodden
* cesar federico pintos alvarez
* julio cesar furch",7
belgrano de cordoba,belgrano de cordoba,"Jugadores del club belgrano de cordoba:
* imanol gonzalez benac
* lucas abel pittinari
* leandro david fernandez",8
boca juniors,boca juniors,"Jugadores del club boca juniors:
* agustin daniel rossi
* faustino marcos alberto rojo
* sebastian villa cano
* frank yusty fabra palacios
* dario ismael benedetto
* sergio german romero
* guillermo matias fernandez
* oscar david romero villamayor
* alan gonzalo varela
* luis jan piers advincula castrillon
* juan edgardo ramirez
* javier hernan garcia
* facundo sebastian roncaglia
* jorge nicolas figal
* aaron nicolas molinas
* nicolas orsini
* luis ismael vazquez
* oscar exequiel zeballos
* diego hernan gonzalez
* martin ismael payero
* marcelo alexis weigandt
* cristian nicolas medina
* ezequiel fernandez
* norberto alejandro briasco balekian
* luca langoni
* esteban leonardo rolon
* agustin sandez
* gabriel aranda
* carlos augusto zambrano ochandarte
* jorman david campuzano puentes
* eduardo antonio salvio
* carlos roberto izquierdoz
* gaston luciano avila
* cristian david pavon
* agustin ezequiel almendra
* valentin barco
* leandro leonel brey
* lisandro ezequiel lopez dessypris
* esteban maximiliano andrada
* carlos alberto tevez
* nicolas capaldo toboas
* israel enoc escalante
* emanuel reynoso
* sebastian perez cardona
* junior osmar ignacio alonso mujica
* jan carlos hurtado anchico
* nahuel molina lucero
* javier agustin bustillos
* federico abadia
* alexis mac allister
* gonzalo agustin lamardo
* daniele de rossi
* nahitan michel nandez acosta
* wilmar enrique barrios teran
* lucas rene olaza catrofe
* leonardo julian balerdi rossa
* cristian omar espinoza
* lisandro magallan
* guido nahuel vadala
* jonathan cristian silva
* rodrigo bentancur colman
* bruno gabriel galvan
* daniel alberto diaz
* german alexis rolin fernandez
* marcelo nicolas lodeiro benitez
* luciano federico acosta
* jonathan calleri
* jose pedro fuenzalida gana
* matias gaston zaragoza
* jonathan chmea
* juan daniel forlin
* hernan gustavo grana
* leonardo gabriel suarez
* yamil jorge gonzalo romero",9
central cordoba sde,central cordoba sde,"Jugadores del club central cordoba sde:
* brian rolando blasi
* fabio jesus pereyra
* jesus miguel soraire
* enzo maximiliano kalinski
* ciro pablo rius aragallo
* marcos ignacio ledesma
* gustavo damian canto
* nicolas leguizamon
* matias alejandro laba
* julian alejandro navas
* lautaro montoya
* matias mansilla
* abel alejandro bustos
* federico jourdan
* cristian gonzalo torres
* jose gomez
* facundo castelli
* sebastian valdez
* leandro ciccolini
* mateo montenegro
* luciano bocco
* gino olguin
* renzo lopez patron
* cesar pablo rigamonti
* anibal jonathan gaston bay
* cristopher benjamin toselli rios
* ivan rodrigo ramirez segovia
* alejandro martinez
* claudio maximiliano riano
* nicolas hugo linares
* matias di benedetto
* francisco guillermo grahl
* hernan dario lopez munoz
* paulo fabian lima simoes
* nahuel eugenio banegas
* lucas agustin besozzi
* rodrigo montes
* andres ulises mehring
* sebastian cesar helios ribas barbato
* jose ramon leguizamon ortega
* pablo abel arganaraz paradi
* nelson federico insfran
* gonzalo rios rios
* agustin gallo
* axel pinto
* lucas nahuel arzamendia
* lautaro gabriel torres
* pablo barraza
* emanuel marcelo cuevas
* henry matias mier codina
* leonardo sequeira
* milton gimenez
* juan daniel galeano
* juan cruz gonzalez
* cesar omar taborda
* dixon stiven renteria mosquera
* ariel mauricio rojas
* jose santiago rosales
* hugo ismael vera oviedo
* jose luis fernandez
* cristian hernan diaz
* ivan ricardo ramirez
* leandro vella
* leonel caffaratti
* pablo javier palacios alvarenga
* mauro alejandro barraza
* juan ignacio vieyra
* matias jose pato rios
* agustin lionel allione
* santiago alejandro gallucci otero
* jhoao leandro rodriguez gonzalez
* dany jose cure correa
* lisandro joel alzugaray
* maximiliano cavallotti
* emanuel maximiliano romero
* marcos fabian sanchez
* francisco manenti
* nicolas correa risso
* juan pablo ruiz gomez
* leonardo enrique villalba
* jose adolfo valencia arrechea
* leandro daniel requena",10
chacarita juniors,chacarita juniors,"Jugadores del club chacarita juniors:
* german david re
* juan martin imbert
* federico guillermo rosso
* matias ezequiel rodriguez
* alejandro fabian gagliardi
* miguel alberto mellado
* alan ariel robledo
* leandro emmanuel martinez
* gabriel alejandro lazarte
* juan ignacio alvarez morinigo
* yefri antonio reyes pinto
* agustin alejandro modula
* gonzalo groba
* elias alderete
* gian crocci
* lucas emanuel alvarez
* tomas segovia
* joaquin ibanez
* julian lichtenauer
* facundo rodriguez calleriza
* lucas elias ontivero
* lucas manuel destefano
* lucas lezcano
* lucas lescano
* nahuel elias tribulo
* cristian daniel barrios
* sebastian gorga nogueira
* cristian daniel campestrini
* kevin mateo cardona bedoya
* lucas gabriel lescano martinez
* nicolas vidal
* matias medina",11
club atletico aldosivi,club atletico aldosivi,"Jugadores del club club atletico aldosivi:
* alan jesus alegre",12
club atletico banfield,club atletico banfield,"Jugadores del club club atletico banfield:
* juan manuel cobo galvez",13
club atletico colon,club atletico colon,"Jugadores del club club atletico colon:
* marcos gabriel fernandez
* pablo sebastian cuevas
* mauro marconato
* osvaldo gabriel arroyo",14
club atletico huracan,club atletico huracan,"Jugadores del club club atletico huracan:
* joaquin nicolas mendive
* german alejandro lesman
* maximiliano agustin zelaya
* federico luciano nieto",15
club atletico independiente,club atletico independiente,"Jugadores del club club atletico independiente:
* juan antonio di lorenzo
* emiliano ariel rigoni
* lucas martin villafanez",16
club atletico lanus,club atletico lanus,"Jugadores del club club atletico lanus:
* lautaro rodrigo valenti
* guillermo sara
* marcos emanuel astina
* maximiliano caceres
* agustin daniel pelletieri",17
club atletico sarmiento,club atletico sarmiento,"Jugadores del club club atletico sarmiento:
* luciano maza",18
club atletico temperley,club atletico temperley,"Jugadores del club club atletico temperley:
* alexis joel zarate maldonado
* david eduardo achucarro trinidad
* cristian ignacio paz
* rodrigo cordoba",19
club atletico tigre,club atletico tigre,"Jugadores del club club atletico tigre:
* maximiliano roman ugarriza
* brian nicolas ruiz
* pedro gutierrez
* julio cesar chiarini
* manuel gonzalez
* mariano echeverria
* kevin fabian itabel
* andres searson
* leandro lujan leguizamon
* diego gabriel caballero",20
club olimpo,club olimpo,"Jugadores del club club olimpo:
* joel sacks
* adrian nahuel martinez
* emanuel bilbao",21
colon,colon,"Jugadores del club colon:
* luis miguel rodriguez
* facundo hernan farias
* rafael marcelo delgado
* facundo tomas garces
* paolo duval goltz
* ramon dario abila
* baldomero perlaza perlaza
* juan pablo alvarez
* ignacio francisco chicco
* cristian orlando vega
* eric exequiel meza
* matias alejandro ibanez basualdo
* santiago daniel pierotti
* leonel marcelo picco
* andrew christopher teuten ponzoni
* jorge daniel benitez guillen
* augusto schott
* brian andres farioli
* lucas javier acevedo
* julian antonio chicco
* gian nardelli
* joaquin bautista ibanez
* leandro ojeda
* jose pablo neris figueredo
* tomas moschion
* gonzalo silva
* luis schlishting
* franco deboli
* cristian oscar bernardi
* mauro abel formica
* mario nicolas otazu vera
* tomas david sandoval
* federico eduardo lertora
* nahuel ezequiel gallardo
* guillermo federico gonzalvez
* conrado david ibarra
* leandro fabian quiroz
* danilo gomez
* brian leonel fernandez
* joaquin fabricio hass
* wilson david morelo lopez
* yeiler andres goez
* gonzalo daniel escobar
* lucas ezequiel viatri
* mateo hernandez
* juan cruz zurbriggen
* rafael garcia casanova
* agustin doffo
* matias lionel fritzler
* marcelo alejandro estigarribia balmori
* guillermo leon celis montiel
* cristian gabriel esparza
* ricardo gaston diaz
* hector damian schmidt
* mauro andres da luz regalado
* braian alejandro galvan
* joaquin manuel aylagas
* erik fernando godoy
* franco nicolas quiroz
* andres felipe cadavid cardona
* adrian jesus bastia beruzzi
* franco zuculini
* clemente juan rodriguez
* gonzalo diego bueno bingola
* mariano nicolas gonzalez
* ariel hernan chavez
* juan francisco bauza
* german andres conti
* facundo ezequiel silva
* cristian david guanca
* facundo julian callejo
* fidencio oviedo dominguez
* diego eduardo lagos
* ivan arturo torres riveros
* raul alejandro iberbia
* mauro daniel dalla costa
* osvaldo ruben barsottini
* diego armando mayora rengifo
* andres german bailo
* victor emanuel casado
* lucas comachi
* federico hernan boasso fleury
* santiago biglieri
* luis leandro castillo
* santiago villafane
* cristian carlos ivan sain
* franco eduardo mazurek
* cristian andres palomeque valoyes
* lucas leon landa
* federico ruiz
* emiliano martin garcia tellechea
* ignacio lovera
* daniel perez
* raul oscar becerra
* exequiel gomez",22
