club_name,club_frase,jugadores,embedding_index
crucero del norte,crucero del norte,"Jugadores del club crucero del norte:
* julio eduardo barraza
* gabriel martin tomassini
* alejandro nicolas martinez ramos
* ernesto raul alvarez fleitas
* maximiliano fernando oliva
* daniel alejandro perez
* nicolas andres olmedo
* german martin caffa
* nicolas dematei
* gabriel chironi
* pablo matias stupiski
* adrian alegre
* dardo guido romero
* dante bareyro
* pedro britez
* lucas ivan caballero
* enzo godoy
* jose dujaut
* brian dominguez
* ivan alejandro molinas
* damian rivas
* cristian agustin almiron
* guillermo bachke
* adrian agustin yagusieczko
* victor oscar cabana
* rodrigo nicolas lechner
* juan ignacio mendonca
* gumersindo mendieta bogado
* geronimo silva
* nicolas diego dematei
* marcelo alejandro lamas
* claudio oscar fileppi
* juan cabrera",23
defensa y justicia,defensa y justicia,"Jugadores del club defensa y justicia:
* luis ezequiel unsain
* david matias barbona
* marcelo nicolas benitez
* nicolas martin tripichio
* juan gabriel rodriguez
* gabriel gustavo alanis
* nicolas emanuel fernandez
* nazareno colombo
* alexis nahuel soto
* gaston alberto togni
* kevin facundo gutierrez
* tomas cardona
* jorge dario caceres ovelar
* leandro otormin
* braian abel rivero
* julian malatini
* nicolas mauricio zalazar
* julian alejo lopez
* lucas souto
* lautaro tomas escalante
* andres lorenzo rios
* agustin sant'anna
* federico versaci
* santiago ramos mingo
* lautaro amade
* leandro espejo
* ezequiel cannavo
* francisco marco
* adonis uriel frias
* cristian jonatan ortiz
* cristian agustin fontana
* lucas gabriel albertengo
* tomas galvan
* brahian cuello
* manuel duarte
* carlos rodolfo rotondi
* hugo ezequiel silva
* maximiliano luayza
* kevin lencina
* mariano pieres
* miguel angel merentiel serrano
* hugo francisco fernandez martinez
* enzo gabriel coacci
* matias nicolas rodriguez
* franco ezequiel paredes
* tomas facundo mariano ortiz
* jose nicolas gonzalez
* edison mauricio duarte barajas
* agustin sienra
* fernando nicolas meza
* washington fernando camacho martinez
* jonathan leonardo farias
* pedro david ramirez
* nicolas gaston avellaneda
* enzo candia
* juan bautista miritello
* ruben alejandro botta montero
* neri raul cardozo
* braian oscar ojeda rodriguez
* lucio emanuel chiappero
* ignacio santiago aliseda
* lucas coyette
* julio cesar gonzalez trinidad
* nicolas andres mana
* lisandro martinez
* juan ignacio gonzalez brazeiro
* marcelo alejandro larrondo paez
* gonzalo orlando diaz nachar
* rafael victoriano barrios
* luis vicente jerez silva
* jonathan ivan requena
* nicolas czornomaz
* pablo andres alvarado
* leandro agustin zazpe rodriguez
* daniel alberto gonzalez
* matias andres sosa
* jose ignacio rivero segade
* hernan daniel fredes
* nahuel juan adolfo cisneros
* federico maya
* oscar ain acosta luna
* adrian leandro dominguez
* nicolas marcelo stefanelli
* christian damian moreno
* fabrizio buschiazzo morel
* gonzalo martin bravo
* ruben daniel bentancourt morales
* hugo maximiliano soria sanchez
* javier orlando yacuzzi
* mariano guerreiro
* guido walter dal cason
* guido rodriguez
* eric daniel aparicio
* fernando martin barrios
* diego venturi
* kevin cassoratti
* maximiliano gauto gonzalez
* juan ignacio dobboletta
* lucas leonel vera piris
* franco jaime
* diego hernan yacob
* esteban ariel saveljich
* juan andres tejera arachichu
* diego ruben tonetto
* axel fernando juarez
* jaime franco
* leonardo emanuel landriel
* emiliano daniel romero
* gonzalo gabriel cabrera giordano
* walter anibal acevedo
* carlos damian casteglione
* leandro rodrigo becerra
* leandro ariel fioravanti
* pablo timoteo de miranda",24
estudiantes,estudiantes,"Jugadores del club estudiantes:
* jorge agustin rodriguez
* leonardo ezequiel godoy
* mariano gonzalo andujar
* fernando zuqui
* mauro boselli
* pablo daniel piatti
* jose ernesto sosa
* emmanuel mas sgros
* guido marcelo carrillo
* benjamin rollheiser
* mauro mendez
* ezequiel matias munoz
* mauricio luciano lollo
* zaid abner romero
* matias godoy
* juan guasone
* carlo maria lattanzio
* claudio daniel sappa
* franco zapiola
* eros mancuso
* mateo pellegrino
* bautista kociubinski
* deian veron
* santiago nunez
* gonzalo pineiro
* brian orosco
* nicolas palavecino
* fabian ariel noguera
* luis manuel castro caceres
* hernan dario toledo
* jorge emanuel morel barrios
* nehuen mario paz
* jeronimo pourtau
* bruno valdez
* agustin maximiliano rogel paita
* gustavo javier del prete
* ricardo ezequiel ramirez
* nelson deossa
* ezequiel naya
* matias pellegrini
* emanuel tomas beltran bardas
* maximiliano david ayala
* esteban daniel obregon
* matias aguirregaray guruceaga
* mauricio manuel guzman
* jaime javier ayovi corozo
* franco agustin romero
* emilio emiliano gonzalez
* nahuel estevez
* lucas ariel rodriguez
* federico rafael gonzalez
* dario ariel sarmiento
* andres oscar ayala
* mauro alberto diaz
* franco nicolas sivetti
* rolando valentin ortiz correa
* javier alejandro mascherano
* juan eduardo fuentes jimenez
* facundo sanchez
* pablo mauricio rosales
* matias emanuel ahumada acuna
* gaston nicolas fernandez
* alvaro daniel pereira barragan
* gonzalo alejandro jara reyes
* hugo mariano pavone
* rodrigo brana
* pablo ariel luguercio
* juan bautista cejas
* jacob israel murillo moncada
* estefano francesconi
* christian fernando aleman alegria
* leandro desabato
* juan ferney otero tovar
* nicolas talpone
* andres ramiro escobar diaz
* elias ezequiel umeres
* juan perotti
* jeisson andres vargas salazar
* luciano andres vargas
* juan sebastian veron
* nahuel hernan losada
* leonardo fabian marinucci
* lucas bruera
* diogo silvestre bittencourt
* cristian ariel belucci
* luis nahuel luna
* gabriel nicolas seijas
* ezequiel miranda
* facundo alfonso andujar
* franco piergiacomi
* agustin silva
* rodrigo ezequiel ayala
* matias isidoro presentado
* javier sequeira
* leandro damian benitez
* leandro sandoval
* cesar augusto mena mosquera
* carlos joaquin correa",25
estudiantes de la plata,estudiantes de la plata,"Jugadores del club estudiantes de la plata:
* juan bautista cascini
* ignacio daniel bailone
* santiago lionel ascacibar
* juan marcos foyth
* emmanuel efrain tarabini",26
gimnasia la plata,gimnasia la plata,"Jugadores del club gimnasia la plata:
* cristian alberto tarragona
* sandro leonardo morales
* matias german melluso
* carlos nicolas colazo
* guillermo enrique
* franco soldano
* eric ivan jesus ramirez
* german leonel guiffrey
* ramon sosa acosta
* leandro nicolas contin
* harrinson mancilla mulato
* maximiliano gabriel comba
* matias nicolas miranda
* benjamin dominguez
* bautista barros schelotto
* juan ignacio miramon
* rodrigo castillo
* diego mastrangelo
* bruno palazzo
* alan lescano
* rolando lautaro chavez
* nahuel manganelli
* tomas durso
* tomas muro
* agustin gabriel bolivar
* gonzalo gonzalez
* alexis steimbach
* rodrigo emanuel cecchini
* guillermo fratta cabrera
* nery francisco leyes
* alexis dominguez
* maximiliano angel coronel
* franco torres
* estanislao jara
* rodrigo julian holgado
* ivo mammini
* matias augusto perez garcia
* lucas matias licht
* sebastian cocimano
* victor hugo ayala nunez
* antonio napolitano
* leandro mamut
* lucas calderon
* tomas agustin fernandez
* matias nicolas gomez
* patricio ivan monti
* ariel matias garcia
* jesus armando vargas rojas
* gianluca simeone
* jhonatan alexander agudelo velasquez
* maximiliano caire
* jonathan german chacon
* marco natanel torsiglieri
* janeiler rivas palacios
* facundo julian oreja
* edwin alexi gomez gutierrez
* juan cataldi
* diego parini
* agustin ramirez
* luciano gaston perdomo
* mauro guevgeozian crespo
* alejandro eduardo melo
* facundo abel pereyra
* franco niell
* nicolas ecequiel dibble aristimuno
* jeronimo barrales
* matias jesus noble
* yair ivan bonnin
* nicolas dario ortiz
* enzo martinez
* camilo veloz
* nicolas raul benavidez
* christian guillermo martin ramos garagay
* nicolas alejandro ibanez
* lucas armando lobos
* sebastian ariel romero
* mauricio martin romero
* pablo ezequiel vegetti pfaffen
* kevin alejandro ceceri
* juan pablo noce
* federico ivan rasic
* omar heber pouso osores
* omar brian andrada
* diego oscar nicolaievsky
* adrian alejandro lugones
* jorge luis rojas meza
* ignacio jauregui
* facundo urquiza
* ignacio lachalde
* eduardo baez
* augusto delgado
* cristian piarrou
* maximiliano daniel gorgerino
* nery antonio cardozo escobar
* juan pocholo",27
gimnasia y esgrima la plata,gimnasia y esgrima la plata,"Jugadores del club gimnasia y esgrima la plata:
* hernan tifner
* daian alberto garcia
* khalil caraballo
* jonas corvalan
* lucas manuel leiva
* joaquin romea",28
godoy cruz,godoy cruz,"Jugadores del club godoy cruz:
* martin exequiel ojeda
* diego matias rodriguez
* gianluca ferrari
* pier miqueas barrios
* nestor adriel breitenbruch
* ederson salomon rodriguez lima
* gonzalo damian abrego
* juan alberto andrada
* federico rasmussen
* sebastian ariel lomonaco
* marcos gonzalo goni
* brian salvareschi
* matias ramirez
* tadeo allende
* rodrigo emanuel saracho
* tomas jose conechny
* bruno leyes
* cristian david nunez morales
* roberto nicolas fernandez fagundez
* enzo larrosa
* lucas arce
* thomas ignacio galdames millan
* santiago paiva
* andres meli
* silvio nahuel ulariaga
* gaston pedernera
* matias soria
* edilson salinas
* franco negri
* nelson fernando acevedo
* juan angel espinola gonzalez
* cristian gabriel chavez
* elias ivan pereyra
* elias sebastian lopez
* luciano gaston pizarro
* juan de dios pintado
* tomas ezequiel castro ponce
* gabriel vega
* juan andres meli
* roberto fabian ramirez
* nahuel cainelli
* ezequiel eduardo bullaude
* manuel tadeo llano massa
* guillermo fabian pereira
* facundo altamira
* kalazan suarez
* jhostin medranda
* emanuel quinteros
* leandro soria
* matias gonzalez
* tomas agustin alvarez
* hector joaquin varela
* nicolas gabriel sanchez
* jeison daniel chala vasquez
* nelson martin ibanez
* augusto aguirre
* adrian ezequiel cirigliano
* wilder jose cartagena mendoza
* mauro javier dos santos
* facundo santiago rodriguez
* victorio gabriel ramis
* enzo agustin manzur
* santiago damian garcia correa
* juan cruz bolado
* franco raul gonzalez
* danilo fabian ortiz soto
* marcelo freites
* lucas ezequiel aguero
* juan francisco brunetta
* marcos sebastian rouzies
* richard fabian prieto
* christian andres almeida rodriguez
* enzo agustin ybanez
* nahuel arena
* joaquin mateo garcia
* ivan smith
* diego francisco viera ruiz diaz
* hernan dario bernardello
* fabio agustin verdugo
* fernando andres nunez
* gaston agustin heredia
* leandro lencinas
* brian ezequiel alferez
* osmar leguizamon pavon
* walter omar serrano
* diego nicolas riolfo perez
* ramiro fernando martinez
* maximiliano sigales straneo
* maximiliano correa
* nicolas andres sanchez
* diego poyet
* luis de faria
* nahir ezequiel bonacorso
* emanuel david garcia
* luis de faria
* matias gabriel contreras
* arturo david ramirez torres
* juan ignacio alvacete
* alan gabriel aldalla
* gabriel oscar moyano
* fernando brico
* federico arturo illanes
* juan ignacio acordino
* leandro ruben caruso
* juan manuel marital
* armando enrique cooper whitaker
* jonathan daniel chavez
* juan manuel barrera
* sergio daniel lopez",29
huracan,huracan,"Jugadores del club huracan:
* lucas gabriel merolla
* lucas nahuel castro
* lucas abraham chavez
* federico fattori mouzo
* santiago hezze
* matias fernando coccaro ferreira
* gaston sauro
* omar fernando tobio
* gabriel alejandro gudino
* hector jonas acevedo
* juan fernando garro
* nicolas fernando cordero
* guillermo tomas soto arredondo
* joaquin ariel novillo
* fernando torrent guidi
* dante nicolas campisi
* valentin alberto burgoa
* cesar roman ibanez
* maicol cabrera
* fernando gabriel godoy
* lucas eduardo carrizo
* patricio pizarro
* angel guillermo benitez
* valentin sanchez
* enzo luna
* juan carlos gauto
* santiago moya
* rafael ferrario
* franco sebastian cristaldo
* benjamin antonio garre
* ismael alberto quilez
* fabian gaston henriquez
* walter gabriel perez
* bruno leonel vides
* agustin alejandro curruhinca
* marcos guillermo diaz
* lucas gabriel vera
* pablo javier adorno martinez
* mateo bajamich
* santiago ezequiel navarro
* cristian david nunez vazquez
* agostino luigi spina
* patricio daniel toranzo
* fernando pedro cosciuc
* pablo damian oro
* federico ezequiel marin
* francisco sebastian ramirez
* nicolas alexis silva
* ivan erquiaga
* leandro damian grimi
* enrique luis triverio
* jose david moya rojas
* diego alan mercado carrizo
* ezequiel augusto bonifacio moreno
* diego roberto mendoza meabe
* braian ezequiel maidana talavera
* renato civelli
* fernando coniglio
* lucas giuliano valente
* saul savin salcedo zarate
* agustin ramon casco
* ivan alexis tierno
* rodrigo manuel gomez
* carlos luciano araujo
* antony domingo silva cano
* nicolas romat
* javier osvaldo mendoza
* fernando diego pellegrino
* adrian daniel calello
* lucas mariano bareiro
* lucas ariel campana
* lorenzo abel faravelli
* omar federico alderete fernandez
* daniel alejandro hernandez gonzalez
* juan ignacio sills
* matias daniel juarez romero
* david hernan drocco
* gabriel miguel guerra
* david alberto depetris
* hugo martin nervo
* ignacio pussetto
* carlos javier matheu
* juan pablo vivas
* daniel gaston montenegro
* alejandro sebastian romero gamarra
* julio eduardo angulo medina
* tomas martin molina
* lucio compagnucci
* mario pablo risso caffaro
* leandro javier diaz borsani
* matias fernando giordano
* emanuel david morales
* lucas ezequiel cuevas
* manuel agustin falon
* martin sarrafiore
* leonel ezequiel muller
* ezequiel nicolas miralles sabugo
* german mandarino
* alan sombra
* guillermo sotelo
* ezequiel adrian gallegos
* edson raul puch cortes
* ivan diego moreno y fabianesi
* agustin gonzalo torassa
* ivan emilio borghello
* david andres distefano
* carlos andre arano fernandez
* lucas gabriel favalli
* santiago echeverria
* pablo nicolas bruna
* gabriel alejandro robledo
* agustin jose gil clarotti",30
independiente,independiente,"Jugadores del club independiente:
* ivan jose marcone
* rodrigo francisco jesus rey
* sergio damian barreto
* juan ramon cazares sevillano
* mauricio andres cuero castillo
* martin cauteruccio rodriguez
* damian alfredo perez
* joaquin marcelo laso
* lucas nahuel gonzalez martinez
* tomas agustin pozzo
* ayrton enrique costa
* luciano luis romulo gomez
* braian miguel angel martinez
* rodrigo marquez
* edgar joel elizalde ferreira
* agustin nicolas mulet
* matias gimenez
* thomas sebastian ortega
* patricio ostachuk
* javier nicolas vallejo
* julian romero
* juan zarza
* santiago hidalgo
* kevin lopez
* diego alexandre segovia hernandez
* sergio fabian ortiz
* justo d'angelo
* santiago ayala
* lucas daniel romero
* carlos sebastian sosa silva
* damian ivan batallini
* alan sonora
* leandro miguel fernandez
* facundo ferreyra
* leandro ivan benegas
* milton david alvarez
* alex vigo gamaliel
* lucas nahuel rodriguez
* gabriel alejandro hachen
* renzo damian bacchia rodriguez
* ramiro lobo
* enzo javier franco
* domingo felipe blanco
* geronimo gaston poblete
* carlos nahuel benavidez protesoni
* david sayago
* mauro zurita
* juan ignacio pacchini
* matias sosa
* fabricio bustos sein
* alan agustin velasco
* facundo lando
* mauro julian molina
* silvio ezequiel romero
* sebastian alberto palacios
* pedro pablo hernandez
* nicolas ariel messiniti
* adrian arregui
* alan javier franco
* federico andres martinez berroa
* alexander nahuel barboza ullua
* martin nicolas benitez
* juan ezequiel da rosa
* cecilio andres dominguez ruiz
* fernando vicente gaibor orellana
* martin nicolas campana delgado
* gaston alexis silva perdomo
* francisco manuel delorenzi
* gonzalo rehak
* francisco andres silva gajardo
* franco andres velez
* fernando gabriel amorebieta mardaras
* emmanuel gigliotti
* maximiliano eduardo meza
* juan manuel martinez
* damian gonzalo albil
* ezequiel alexander denis
* hernan dario pellerano
* walter daniel erviti roldan
* nicolas alejandro tagliafico
* juan manuel martinez trejo
* leonel ignacio alvarez
* victor leandro cuesta
* cristian gabriel rodriguez barrotti
* victor emanuel aguilera
* saul sadam nelle
* fabian ariel monserrat
* marcelo leonel vidal
* mauricio bernardo victorino dansilio
* alan gustavo fabian depotte
* cristian alberto tula
* gabriel gustavo valles
* eloy rodriguez
* jorge ivan perez",31
lanus,lanus,"Jugadores del club lanus:
* cristian franco lema
* lautaro german acosta
* jose gustavo sand
* raul alberto loaiza morelos
* leandro nicolas diaz
* pedro de la vega
* felipe aguilar mendoza
* leonel di placido
* tomas belmonte
* lautaro alberto morales
* franco troyansky
* diego luis braghieri
* facundo martin perez
* jose maria canale dominguez
* guillermo rafael de amores ravelo
* juan manuel sanchez mino
* matias eduardo esquivel
* julian ezequiel aude bernardi
* braian nahuel aguirre
* luciano boggio
* samuel careaga
* javier ivan cazal baez
* franco orozco
* maximiliano gonzalez
* mateo sanabria
* brian blando
* brian aguilar
* julio cesar soler
* nicolas pasquini
* fernando monetti
* claudio paul spinelli
* matias damian perez
* matias vera
* franco ortellado
* lucas varaldo
* ignacio cechi
* agustin rodriguez
* angel emanuel gonzalez
* alexandro ezequiel bernabei
* juan pablo krilanovich
* luciano peraggini
* jose manuel alberto lopez
* diego hernan valeri
* kevin joel lomonaco
* tomas ezequiel canteros
* gaston andres lodico
* matias luis belloso
* alejo german tabares
* pablo aranda
* guillermo enio burdisso
* ousmane ndong
* jose luis gomez
* alexis rafael perez fontanilla
* facundo tomas quignon
* gonzalo adrian casazza
* gabriel dario carrasco
* fernando omar barrientos
* damian marcelino moreno
* pablo daniel martinez morales
* juan pablo cozzani
* gonzalo ignacio di renzo
* jose luis sinisterra castillo
* matias donato
* tiago pagnussat
* marcos ariel pinto
* agustin mansilla
* denis joel martinez
* lucas andres mugni
* german gustavo denis
* matias santiago sanchez
* enzo gabriel ortiz
* alejandro daniel silva gonzalez
* kevin cardozo
* maximiliano nicolas velazquez
* sergio fabian gonzalez
* nicolas ezequiel caro torres
* miguel angel almiron rejala
* jose jonny magallon oliva
* gustavo raul gomez portillo
* junior benitez
* sebastian eduardo leto
* cristian manuel chavez
* oscar benitez
* matias leonel gonzalez
* walter hernan gallardo
* diego barisone
* cesar gabriel borda
* andres leonardo sena
* agustin federico marchesin",32
newell's old boys,newell's old boys,"Jugadores del club newell's old boys:
* leonel jesus vangioni
* juan manuel garcia
* lucas adrian hoyos
* willer emilio ditta perez
* pablo javier perez
* julian rodrigo fernandez
* victor gustavo velazquez ramos
* armando jesus mendez alcorta
* guillermo luis ortiz
* ramiro jesus macagno
* ivan alejandro gomez
* cristian ezequiel ferreira
* lucas santiago melano
* bruno alejandro pitton
* juan sebastian sforza
* francisco agustin gonzalez
* djorkaeff neicer reasco gonzalez
* fabian steven angel bernal
* ramiro sordo
* facundo mansilla
* tomas jacob
* martin luciano
* brian aguirre
* marcelo esponda
* guillermo balzi
* franco herrera
* marcos portillo
* nazareno funez
* marco campagnaro
* luciano cingolani
* genaro rossi
* ivan mauricio arboleda
* jeronimo cacciabue
* nicolas federico castro
* roman bravo
* patricio acevedo
* cristian manuel insaurralde
* denis emanuel rodriguez
* gabriel carlos compagnucci
* ignacio martin scocco
* maximiliano ruben rodriguez
* fernando daniel belluschi
* jonathan ezequiel cristaldo
* pablo david sabbag daccarett
* mateo maccari
* williams barlasina
* franco nicolas escobar
* facundo agustin nadalin
* alexis agustin rodriguez
* santiago juan gentiletti selak
* enzo daniel cabrera
* fabricio bautista fontanini
* joaquin torres
* angelo emanuel gabrielli scaroni
* tobias donsanti
* francisco david fydriszewski
* ignacio nicolas huguenet
* luis leal dos anjos
* leonel ferroni
* juan pablo freytes
* facundo pardo
* lisandro agustin cabrera
* mauricio alejandro tevez
* daniel hernan opazo
* lucas ariel villarruel
* ribair rodriguez perez
* emanuel adrian biancucchi
* victor alberto figueroa
* teodoro paul paredes pavon
* alfio ovidio oviedo alvarez
* nicolas matias temperini
* juan manuel requena
* emanuel joel amoroso
* brian oscar sarmiento
* junior jose correia
* ivan rodrigo piris leguizamon
* alan daniel luque
* milton treppo
* milton nahuel valenzuela
* ivan ezequiel silva
* lucas nicolas giovagnoli
* sebastian ezequiel d'angelo
* leandro figueroa
* sebastian enrique dominguez
* maximiliano ivan pollacchi
* emiliano franco pola
* german ariel voboril
* fabricio orosman formiliano duarte
* gabriel alejandro baez corradi
* daniel mancini
* leandro sebastian fernandez
* diego mateo alustiza
* marcos antonio caceres centurion
* hernan villalba
* lucas ariel boye
* franco nicolas perez
* facundo bustamante
* marcos leonel perez
* martin tonso
* oscar alfredo ustari
* ezequiel ponce martinez
* enzo beloso
* juan angel neira
* carlos leonel torres
* jonathan valle
* lucas bernardi
* hernan alexis altolaguirre",33
nueva chicago,nueva chicago,"Jugadores del club nueva chicago:
* christian gustavo gomez
* nicolas miguel sainz
* sebastian hugo grazzini
* marcos adrian galarza
* nicolas tauber
* pablo martin ruiz
* leandro augusto caballero
* nicolas cesar rizzo
* tomas paschetta
* mauricio antonio arias gonzalez
* juan cruz monteagudo
* lucas baldunciel
* norberto dario palmieri
* alan lionel minaglia
* gonzalo vivas
* rodrigo espindola
* daud gazale",34
olimpo,olimpo,"Jugadores del club olimpo:
* franco bellocq
* emiliano mathias tellechea
* ramon alberto lentini
* gonzalo fabian porras burghi
* cristian damian villanueva
* david vega
* nolberto ezequiel vidal
* maximiliano fabian fornari
* daniel alejandro ibanez
* pedro silva torrejon
* rodrigo martin cabalucci
* renzo ramirez maidana
* luis alfredo vila
* said daniel llambay
* lautaro jose belleggia
* nicolas jose herranz
* leandro lautaro lacunza
* facundo garcia
* sebastian ezequiel anchoverri ponce
* martin ferreyra
* tomas costa
* adrian jose gabbarini
* orlando gabriel gaona lugo
* cristian javier nasuti
* eial strahman
* martin perez guedes
* maximiliano daniel perez tambasco
* ezequiel d'angelo
* oscar ezequiel jonathan parnisari
* nicolas ariel alvarez
* matias alejandro mayer
* federico freire
* jose erik correa villero
* nicolas mariano minutella
* victor ruben lopez
* nereo champagne
* mario angel paglialunga
* brian federico ferreira
* jean pierre agustin barrientos diaz
* pablo nicolas miguez farre
* elias josue borrego
* ezequiel hector viola
* fernando javier gonzalez
* joaquin susvielles
* jose roberto lincopan
* luca ezequiel orozco
* ignacio torres
* alejandro otero
* leandro martorano
* enrique blanco
* nicolas hernan ihitz
* matias sebastian porcari
* hugo roberto colace
* luciano nequecaur
* alex leonardo bolanos reascos
* javier soner
* juan manuel olivares",35
patronato,patronato,"Jugadores del club patronato:
* nicolas mario domingo
* nicolas eduardo castro
* lucas nahuel kruspzky
* jorge vidal valdez chamorro
* gerardo damian arce
* facundo cobos
* lautaro nicolas comas
* nazareno damian solis
* sergio maximiliano ojeda
* lautaro dante geminiani
* fabio francisco vazquez
* brian agustin nievas
* jorge martin aruga torales
* alexander sosa
* mateo levato
* franco daniel rivasseau
* juan pablo barinaga
* tomas caceres
* gaston novero
* matias lautaro ruiz diaz
* jose alberto barreto
* ignacio russo cordero
* valentin pereyra
* matias alexis budino
* kevin damian gonzalez
* jonathan carlos herrera
* raul alberto lozano
* franco ezequiel leys
* axel alan rodriguez
* matias gabriel pardo
* julio leonel mosevich
* justo giani
* enmerson geovanny batalla martinez
* oliver paz benitez
* lucas ramon barrios caceres
* diego gonzalo garcia cardozo
* mauro gabriel ortiz
* rolando garcia guerreno
* leandro lucas marin
* damian oscar lemos
* bruno saul urribarri
* hugo alejandro magallanes silveira
* nicolas gabriel albarracin basil
* faustino dettler
* matias palavecino
* nicolas franco
* walter agustin pastorelli
* mateo komar
* brian leonel negro
* fernando david luna
* federico costa
* german ariel rivero
* juan ignacio barinaga
* santiago david brinone
* agustin guiffrey
* mauro ezequiel gonzalez
* pablo oscar cortizo
* mathias nicolas abero villan
* matias andres escudero
* gabriel adrian diaz
* hugo gabriel silveira pereira
* agustin emiliano sufi
* federico vietto
* juan cruz franzoni
* juan francisco galetto
* walter saul andrade
* lucas eduardo mancinelli
* pablo martin ledesma
* sebastian hernan bertoli
* lucas esteban ceballos
* jacobo guillermo mansilla
* gonzalo renzo vera
* agustin sandona
* ignacio andres cacheiro
* sergio abel peralta
* german berterame
* nicolas pantaleone
* marcos javier minetti
* emanuel alarcon
* mauricio ezequiel sperduti
* pablo nicolas royon silvera
* matias nicolas fonseca
* leonardo matias garrido
* facundo barcelo viera
* alberto cirilo contrera gimenez
* darwin jesus gonzalez mendoza
* ivan alejandro furios
* blas antonio caceres garay
* marcelo guzman
* lucas alexander sosa
* matias alejandro quiroga
* lucas matias marquez
* julian augusto marchioni
* rodrigo javier migone
* maximiliano ezequiel nunez
* mauricio nicolas carrasco
* agustin bossio
* abel luis masuero
* tomas spinelli
* marcos damian maydana
* yamil silva
* gabriel alejandro vargas venegas
* alejandro almada
* alexander hollman
* arnaldo gonzalez
* jonathan marcelo ferrari
* gonzalo alejandro espinoza toledo",36
